ID,Название
1111,скв.1111
1112,скв.1112
1113,скв.1113
1114,скв.1114
1115,скв.1115
1116,скв.1116
1117,скв.1117
1118,скв.1118
1121,скв.1121
1122,скв.1122
1123,скв.1123
1124,скв.1124
1125,скв.1125
1126,скв.1126
1127,скв.1127
1128,скв.1128
1211,скв.1211
1212,скв.1212
1213,скв.1213
1214,скв.1214
1215,скв.1215
1216,скв.1216
1217,скв.1217
1221,скв.1221
1222,скв.1222
1223,скв.1223
1224,скв.1224
1225,скв.1225
1226,скв.1226
1227,скв.1227
1231,скв.1231
1232,скв.1232
1233,скв.1233
1234,скв.1234
1235,скв.1235
1236,скв.1236
1237,скв.1237
1311,скв.1311
1312,скв.1312
1313,скв.1313
1314,скв.1314
1315,скв.1315
1316,скв.1316
1321,скв.1321
1322,скв.1322
1323,скв.1323
1324,скв.1324
1325,скв.1325
1326,скв.1326
1331,скв.1331
1332,скв.1332
1333,скв.1333
1334,скв.1334
1335,скв.1335
1336,скв.1336
1341,скв.1341
1342,скв.1342
1343,скв.1343
1344,скв.1344
1345,скв.1345
1346,скв.1346
1411,скв.1411
1412,скв.1412
1413,скв.1413
1414,скв.1414
1415,скв.1415
1421,скв.1421
1422,скв.1422
1423,скв.1423
1424,скв.1424
1425,скв.1425
1431,скв.1431
1432,скв.1432
1433,скв.1433
1434,скв.1434
1435,скв.1435
1441,скв.1441
1442,скв.1442
1443,скв.1443
1444,скв.1444
1445,скв.1445
1451,скв.1451
1452,скв.1452
1453,скв.1453
1454,скв.1454
1455,скв.1455
1511,скв.1511
1512,скв.1512
1513,скв.1513
1514,скв.1514
1521,скв.1521
1522,скв.1522
1523,скв.1523
1524,скв.1524
1531,скв.1531
1532,скв.1532
1533,скв.1533
1534,скв.1534
1541,скв.1541
1542,скв.1542
1543,скв.1543
1544,скв.1544
1551,скв.1551
1552,скв.1552
1553,скв.1553
1554,скв.1554
1561,скв.1561
1562,скв.1562
1563,скв.1563
1564,скв.1564
1611,скв.1611
1612,скв.1612
1613,скв.1613
1621,скв.1621
1622,скв.1622
1623,скв.1623
1631,скв.1631
1632,скв.1632
1633,скв.1633
1641,скв.1641
1642,скв.1642
1643,скв.1643
1651,скв.1651
1652,скв.1652
1653,скв.1653
1661,скв.1661
1662,скв.1662
1663,скв.1663
1671,скв.1671
1672,скв.1672
1673,скв.1673
1711,скв.1711
1712,скв.1712
1721,скв.1721
1722,скв.1722
1731,скв.1731
1732,скв.1732
1741,скв.1741
1742,скв.1742
1751,скв.1751
1752,скв.1752
1761,скв.1761
1762,скв.1762
1771,скв.1771
1772,скв.1772
1781,скв.1781
1782,скв.1782
2111,скв.2111
2112,скв.2112
2113,скв.2113
2114,скв.2114
2115,скв.2115
2116,скв.2116
2117,скв.2117
2118,скв.2118
2121,скв.2121
2122,скв.2122
2123,скв.2123
2124,скв.2124
2125,скв.2125
2126,скв.2126
2127,скв.2127
2128,скв.2128
2211,скв.2211
2212,скв.2212
2213,скв.2213
2214,скв.2214
2215,скв.2215
2216,скв.2216
2217,скв.2217
2221,скв.2221
2222,скв.2222
2223,скв.2223
2224,скв.2224
2225,скв.2225
2226,скв.2226
2227,скв.2227
2231,скв.2231
2232,скв.2232
2233,скв.2233
2234,скв.2234
2235,скв.2235
2236,скв.2236
2237,скв.2237
2311,скв.2311
2312,скв.2312
2313,скв.2313
2314,скв.2314
2315,скв.2315
2316,скв.2316
2321,скв.2321
2322,скв.2322
2323,скв.2323
2324,скв.2324
2325,скв.2325
2326,скв.2326
2331,скв.2331
2332,скв.2332
2333,скв.2333
2334,скв.2334
2335,скв.2335
2336,скв.2336
2341,скв.2341
2342,скв.2342
2343,скв.2343
2344,скв.2344
2345,скв.2345
2346,скв.2346
2411,скв.2411
2412,скв.2412
2413,скв.2413
2414,скв.2414
2415,скв.2415
2421,скв.2421
2422,скв.2422
2423,скв.2423
2424,скв.2424
2425,скв.2425
2431,скв.2431
2432,скв.2432
2433,скв.2433
2434,скв.2434
2435,скв.2435
2441,скв.2441
2442,скв.2442
2443,скв.2443
2444,скв.2444
2445,скв.2445
2451,скв.2451
2452,скв.2452
2453,скв.2453
2454,скв.2454
2455,скв.2455
2511,скв.2511
2512,скв.2512
2513,скв.2513
2514,скв.2514
2521,скв.2521
2522,скв.2522
2523,скв.2523
2524,скв.2524
2531,скв.2531
2532,скв.2532
2533,скв.2533
2534,скв.2534
2541,скв.2541
2542,скв.2542
2543,скв.2543
2544,скв.2544
2551,скв.2551
2552,скв.2552
2553,скв.2553
2554,скв.2554
2561,скв.2561
2562,скв.2562
2563,скв.2563
2564,скв.2564
2611,скв.2611
2612,скв.2612
2613,скв.2613
2621,скв.2621
2622,скв.2622
2623,скв.2623
2631,скв.2631
2632,скв.2632
2633,скв.2633
2641,скв.2641
2642,скв.2642
2643,скв.2643
2651,скв.2651
2652,скв.2652
2653,скв.2653
2661,скв.2661
2662,скв.2662
2663,скв.2663
2671,скв.2671
2672,скв.2672
2673,скв.2673
3111,скв.3111
3112,скв.3112
3113,скв.3113
3114,скв.3114
3115,скв.3115
3116,скв.3116
3117,скв.3117
3118,скв.3118
3121,скв.3121
3122,скв.3122
3123,скв.3123
3124,скв.3124
3125,скв.3125
3126,скв.3126
3127,скв.3127
3128,скв.3128
3211,скв.3211
3212,скв.3212
3213,скв.3213
3214,скв.3214
3215,скв.3215
3216,скв.3216
3217,скв.3217
3221,скв.3221
3222,скв.3222
3223,скв.3223
3224,скв.3224
3225,скв.3225
3226,скв.3226
3227,скв.3227
3231,скв.3231
3232,скв.3232
3233,скв.3233
3234,скв.3234
3235,скв.3235
3236,скв.3236
3237,скв.3237
3311,скв.3311
3312,скв.3312
3313,скв.3313
3314,скв.3314
3315,скв.3315
3316,скв.3316
3321,скв.3321
3322,скв.3322
3323,скв.3323
3324,скв.3324
3325,скв.3325
3326,скв.3326
3331,скв.3331
3332,скв.3332
3333,скв.3333
3334,скв.3334
3335,скв.3335
3336,скв.3336
3341,скв.3341
3342,скв.3342
3343,скв.3343
3344,скв.3344
3345,скв.3345
3346,скв.3346
3411,скв.3411
3412,скв.3412
3413,скв.3413
3414,скв.3414
3415,скв.3415
3421,скв.3421
3422,скв.3422
3423,скв.3423
3424,скв.3424
3425,скв.3425
3431,скв.3431
3432,скв.3432
3433,скв.3433
3434,скв.3434
3435,скв.3435
3441,скв.3441
3442,скв.3442
3443,скв.3443
3444,скв.3444
3445,скв.3445
3451,скв.3451
3452,скв.3452
3453,скв.3453
3454,скв.3454
3455,скв.3455
3511,скв.3511
3512,скв.3512
3513,скв.3513
3514,скв.3514
3521,скв.3521
3522,скв.3522
3523,скв.3523
3524,скв.3524
3531,скв.3531
3532,скв.3532
3533,скв.3533
3534,скв.3534
3541,скв.3541
3542,скв.3542
3543,скв.3543
3544,скв.3544
3551,скв.3551
3552,скв.3552
3553,скв.3553
3554,скв.3554
3561,скв.3561
3562,скв.3562
3563,скв.3563
3564,скв.3564
4111,скв.4111
4112,скв.4112
4113,скв.4113
4114,скв.4114
4115,скв.4115
4116,скв.4116
4117,скв.4117
4118,скв.4118
4121,скв.4121
4122,скв.4122
4123,скв.4123
4124,скв.4124
4125,скв.4125
4126,скв.4126
4127,скв.4127
4128,скв.4128
4211,скв.4211
4212,скв.4212
4213,скв.4213
4214,скв.4214
4215,скв.4215
4216,скв.4216
4217,скв.4217
4221,скв.4221
4222,скв.4222
4223,скв.4223
4224,скв.4224
4225,скв.4225
4226,скв.4226
4227,скв.4227
4231,скв.4231
4232,скв.4232
4233,скв.4233
4234,скв.4234
4235,скв.4235
4236,скв.4236
4237,скв.4237
4311,скв.4311
4312,скв.4312
4313,скв.4313
4314,скв.4314
4315,скв.4315
4316,скв.4316
4321,скв.4321
4322,скв.4322
4323,скв.4323
4324,скв.4324
4325,скв.4325
4326,скв.4326
4331,скв.4331
4332,скв.4332
4333,скв.4333
4334,скв.4334
4335,скв.4335
4336,скв.4336
4341,скв.4341
4342,скв.4342
4343,скв.4343
4344,скв.4344
4345,скв.4345
4346,скв.4346
4411,скв.4411
4412,скв.4412
4413,скв.4413
4414,скв.4414
4415,скв.4415
4421,скв.4421
4422,скв.4422
4423,скв.4423
4424,скв.4424
4425,скв.4425
4431,скв.4431
4432,скв.4432
4433,скв.4433
4434,скв.4434
4435,скв.4435
4441,скв.4441
4442,скв.4442
4443,скв.4443
4444,скв.4444
4445,скв.4445
4451,скв.4451
4452,скв.4452
4453,скв.4453
4454,скв.4454
4455,скв.4455
